D_Pagar,P22,P23,P24,P25,P26
1,8,750,65,6,3
0,0,450,64,6,3
1,10,1150,60,11,3
0,0,450,50,11,3
0,0,450,52,11,3
1,10,1350,40,11,3
1,8,750,31,6,3
0,0,450,35,11,3
0,0,450,33,11,3
0,0,450,52,6,3
0,0,450,50,11,3
1,10,1150,28,11,3
0,0,450,26,16,3
0,0,450,24,16,3
0,0,450,35,6,1
1,8,750,40,11,2
1,8,750,34,6,2
1,8,750,28,11,2
1,8,750,37,6,2
1,8,750,39,11,2
1,8,750,41,6,2
1,8,750,65,11,2
1,8,750,63,6,2
1,8,750,58,11,2
0,0,450,67,6,2
0,0,450,64,11,1
0,0,450,61,6,1
0,0,450,60,11,1
1,8,950,58,6,3
1,8,950,54,11,3
1,8,950,52,6,3
1,8,950,46,11,3
1,8,950,38,6,3
1,8,950,45,11,3
1,8,950,65,6,3
1,8,950,34,11,3
1,8,950,54,6,3
1,8,950,37,11,3
1,8,950,28,6,3
1,8,950,32,11,3
1,8,950,43,6,3
1,8,950,54,11,3
1,8,950,56,6,3
1,8,950,34,11,3
1,8,950,34,6,3
1,8,750,65,11,3
1,10,750,27,6,3
1,10,750,24,11,5
1,10,750,56,6,5
1,10,750,54,11,3
1,10,750,34,6,3
1,10,750,65,11,3
1,10,750,27,6,3
1,10,750,34,11,3
1,10,750,36,6,5
1,10,750,54,11,3
1,10,750,38,6,3
1,10,750,35,11,4
1,10,750,45,6,4
1,10,750,51,11,4
1,10,1150,53,6,3
1,10,1150,43,16,3
1,10,1150,65,16,3
1,10,1150,34,16,3
1,10,1150,56,16,3
1,10,1150,43,11,3
1,10,1150,42,6,3
1,10,1150,43,11,3
1,10,1150,24,6,3
1,10,1150,35,11,3
1,10,1150,56,6,3
1,10,1150,37,11,3
1,10,1150,38,6,3
1,10,1150,29,11,3
1,10,1150,34,6,3
1,10,1150,56,11,3
1,10,1150,57,6,3
1,10,1150,55,11,3
1,10,1150,53,6,3
1,10,1150,51,11,3
1,10,1150,34,6,3
1,10,1150,45,11,3
1,10,1150,53,6,3
1,10,1150,57,11,3
1,10,1150,25,6,3
1,8,950,43,11,3
1,8,950,46,6,3
1,8,950,61,11,3
1,8,950,59,6,3
1,8,950,34,11,3
1,8,950,56,6,3
1,8,950,48,11,3
1,8,950,40,6,3
1,8,950,39,11,3
1,12,450,36,6,3
1,12,450,25,11,3
1,12,450,45,6,3
1,12,450,47,11,3
1,12,450,49,6,3
1,12,450,36,14,3
1,12,450,38,14,3
1,12,450,54,14,3
1,12,450,52,14,3
1,12,450,58,14,3
1,12,450,45,14,3
1,12,450,28,14,3
1,12,450,25,14,3
1,12,450,45,14,3
1,12,450,60,18,3
1,8,750,65,6,3
1,8,750,67,6,3
1,8,750,68,6,3
1,8,750,64,6,3
1,8,750,60,6,3
1,8,750,65,6,3
1,8,750,64,6,3
1,8,750,68,11,3
1,8,750,67,11,3
1,8,750,62,11,3
1,8,750,63,11,3
1,8,750,64,11,3
1,8,750,60,11,3
1,8,750,69,11,3
1,8,750,75,11,3
1,8,750,73,11,3
1,8,750,65,14,3
1,8,750,69,14,3
1,8,750,60,14,3
1,8,750,61,14,3
1,8,450,65,14,3
1,8,450,64,14,3
1,8,450,67,14,3
1,8,450,68,14,3
1,8,450,74,14,3
1,8,450,70,14,3
1,8,950,71,14,3
1,8,950,64,14,3
1,8,950,69,14,3
1,8,950,61,6,3
1,8,950,63,6,3
0,0,450,64,6,3
0,0,450,62,6,3
1,8,950,69,6,3
0,0,450,60,6,3
1,8,950,54,6,3
1,14,950,53,6,5
1,14,950,54,6,5
1,14,950,57,6,5
1,14,950,56,11,3
1,14,950,26,11,4
1,14,950,34,11,4
1,14,950,65,11,4
1,8,950,32,11,3
0,0,450,43,11,3
1,8,950,48,11,3
1,8,950,49,11,3
1,8,950,35,11,3
1,8,950,47,11,3
1,8,950,39,11,3
1,8,950,28,11,3
1,8,950,43,11,3
1,8,950,65,11,3
1,8,950,47,11,3
1,14,750,39,11,3
1,14,750,58,14,3
1,14,750,27,14,3
1,14,750,35,14,3
0,14,750,34,14,3
1,10,750,36,14,3
1,10,750,38,14,3
1,10,750,34,14,3
1,10,750,35,14,3
1,10,750,36,14,3
1,10,750,45,14,3
1,10,750,56,14,3
1,10,750,34,14,3
1,10,750,56,14,3
1,10,750,58,14,3
0,0,450,49,14,2
0,0,450,32,14,2
0,0,450,45,14,2
0,0,450,41,14,2
0,0,450,48,14,2
1,10,450,43,14,3
1,10,450,65,11,3
1,10,450,67,11,3
1,10,450,32,11,3
1,10,450,56,11,3
1,10,450,48,11,3
1,10,450,54,11,3
1,10,450,56,11,3
1,10,450,36,11,3
1,10,450,38,11,3
1,10,450,40,11,3
1,10,450,41,6,3
1,10,450,47,6,3
1,10,450,43,6,3
1,10,450,46,6,3
1,10,450,42,6,3
1,10,450,45,6,3
0,0,450,43,6,3
0,0,450,36,6,3
0,0,450,37,6,3
0,0,450,54,6,3
1,12,450,65,11,4
1,12,450,25,11,4
1,12,450,34,11,4
1,12,450,43,11,4
0,0,450,45,11,3
0,0,450,46,11,3
0,0,450,48,11,3
0,0,450,40,11,3
0,0,450,50,11,3
1,12,450,57,11,3
1,12,450,60,11,5
1,12,450,32,11,5
1,12,450,20,11,5
1,12,450,24,11,5
0,0,450,26,11,3
0,0,450,56,11,3
0,0,450,43,11,3
0,0,450,48,11,3
0,0,450,56,11,3
0,0,450,54,16,3
1,12,1150,56,16,3
1,12,1150,48,16,3
1,12,1150,49,16,3
1,12,1150,30,11,3
1,12,1150,40,11,3
1,12,1150,32,11,3
1,10,950,34,11,2
0,0,450,54,11,1
0,0,450,65,11,1
0,0,450,48,11,1
0,0,450,49,11,1
0,0,450,43,16,1
1,10,950,45,16,1
1,10,950,37,16,1
1,10,950,56,16,1
1,10,950,45,16,1
1,10,950,48,16,1
1,10,950,56,16,1
1,10,950,43,16,1
1,10,950,51,16,1
1,10,950,52,16,1
1,10,950,54,16,1
1,10,950,34,16,1
1,10,950,36,16,1
1,10,950,37,16,1
1,10,950,32,16,1
1,10,950,34,16,1
1,10,950,54,16,1
1,10,950,55,16,1
1,8,750,44,16,1
1,8,750,32,16,1
1,8,750,33,11,1
1,8,750,56,11,1
1,8,750,71,11,1
1,8,750,37,11,1
0,0,450,57,11,3
0,8,750,45,11,3
0,0,450,46,11,3
0,0,450,65,11,3
0,0,450,43,11,3
1,12,950,42,11,3
1,12,950,50,11,3
1,12,950,20,11,3
1,12,950,34,11,3
1,12,950,21,11,3
1,12,950,54,11,3
1,12,950,56,11,3
0,0,450,62,11,3
0,0,450,34,11,3
0,0,450,56,11,3
0,0,450,43,11,3
0,0,450,57,11,3
0,0,450,65,11,3
1,12,1150,59,11,3
1,12,1150,48,11,3
0,0,450,38,11,3
1,12,1350,32,11,3
1,12,1350,37,11,3
1,12,1350,36,11,3
1,12,1350,35,11,3
0,0,450,39,11,3
0,0,450,32,11,3
0,0,450,45,11,3
0,0,450,32,11,3
0,0,450,67,11,3
0,0,450,54,14,3
0,0,450,34,14,3
0,0,450,36,14,3
0,0,450,54,14,3
0,0,450,34,14,3
0,0,450,35,14,3
1,14,450,46,18,4
1,14,450,54,18,4
1,14,450,57,18,4
1,14,450,48,14,4
1,14,450,32,14,3
1,14,450,45,14,3
1,14,450,65,14,3
1,14,450,34,14,3
1,14,450,48,14,3
1,14,450,38,14,3
1,14,450,29,14,3
1,14,450,23,14,3
1,14,450,34,14,3
1,14,450,54,14,3
1,12,450,56,14,3
1,12,450,54,14,3
1,12,450,47,6,3
1,12,450,48,6,3
1,12,450,45,6,3
1,12,450,54,6,3
1,12,450,56,6,3
1,12,450,58,6,3
1,12,750,43,6,3
1,12,750,38,6,3
1,14,750,56,6,3
1,14,750,43,6,3
1,14,750,45,6,3
1,14,750,65,6,3
1,14,750,42,6,3
1,14,750,41,6,3
1,14,750,43,6,3
1,14,750,37,6,3
1,14,750,38,6,3
1,14,750,26,6,3
1,14,750,27,6,3
1,14,750,34,6,3
1,14,750,32,6,3
1,14,750,38,6,3
1,14,750,37,6,3
1,14,750,45,11,3
1,14,750,47,11,3
1,14,750,30,11,5
1,14,750,29,11,5
1,14,750,45,11,5
1,10,1350,34,11,5
1,10,1350,45,11,3
1,10,1350,48,11,3
1,10,1350,47,11,3
1,10,1350,45,11,3
1,10,1350,36,11,3
1,10,1350,35,11,3
1,10,1350,28,11,3
1,10,1350,45,11,3
1,10,1350,36,11,3
1,10,1350,49,11,3
1,10,1350,36,11,2
1,10,1350,38,11,2
1,10,1350,37,11,4
1,12,1350,56,11,4
1,12,1350,43,11,4
1,12,1350,45,11,4
1,12,1350,28,11,4
1,12,1350,34,11,4
1,12,1150,56,14,2
1,12,1150,34,14,2
1,12,1150,46,14,2
1,12,1150,38,14,2
1,12,1150,29,14,2
1,12,1150,32,14,3
1,12,1150,35,14,2
0,0,450,43,14,1
0,0,450,45,14,4
